store,store_name,account,account_name,account_bank
CH1001,,18PVEXD,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP01,,18PVSFI,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP02,,18PV158,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP05,,18PV670,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP07,,18PVDUT,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP08,,18PVGOV,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP14,,18PV37Z,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP15,,18PVKNL,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP18,,18PVI8K,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP20,,18PVDKX,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP25,,18PVOAS,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP28,,18PV797,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP32,,18PVPR9,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP34,,18PV92M,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP37,,18PVE43,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP40,,18PVP2U,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP46,,18PV4TC,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP48,,18PVWVK,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP52,,18PVOVA,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP54,,18PVCWL,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP55,,18PVD3S,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP57,,18PVTTQ,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP58,,18PVIJO,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP59,,18PVCP3,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP61,,18PVPQY,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP62,,18PVICU,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP63,,18PV1LF,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP64,,18PVOLL,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP65,,18PVLZM,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP66,,18PVCA9,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP67,,18PV124,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
CP68,,18PVAEG,CTY CO PHAN THUONG MAI DV PHONG VU,VietinBank
